# Source: Wikipedia (List of NFL champions (1920–1969), List of Super Bowl champions), CC BY-SA 4.0.
season,game,date,winner,winner_score,loser,loser_score,venue,city
1986,Super Bowl XXI,"Jan 25, 1987",New York Giants,39,Denver Broncos,20,Rose Bowl,"Pasadena, California"
1987,Super Bowl XXII,"Jan 31, 1988",Washington Redskins,42,Denver Broncos,10,San Diego–Jack Murphy Stadium,"San Diego, California"
1988,Super Bowl XXIII,"Jan 22, 1989",San Francisco 49ers,20,Cincinnati Bengals,16,Joe Robbie Stadium,"Miami, Florida"
1989,Super Bowl XXIV,"Jan 28, 1990",San Francisco 49ers,55,Denver Broncos,10,Louisiana Superdome,"New Orleans, Louisiana"
1990,Super Bowl XXV,"Jan 27, 1991",New York Giants,20,Buffalo Bills,19,Tampa Stadium,"Tampa, Florida"
1991,Super Bowl XXVI,"Jan 26, 1992",Washington Redskins,37,Buffalo Bills,24,Metrodome,"Minneapolis, Minnesota"
1992,Super Bowl XXVII,"Jan 31, 1993",Dallas Cowboys,52,Buffalo Bills,17,Rose Bowl,"Pasadena, California"
1993,Super Bowl XXVIII,"Jan 30, 1994",Dallas Cowboys,30,Buffalo Bills,13,Georgia Dome,"Atlanta, Georgia"
1994,Super Bowl XXIX,"Jan 29, 1995",San Francisco 49ers,49,San Diego Chargers,26,Joe Robbie Stadium,"Miami, Florida"
1995,Super Bowl XXX,"Jan 28, 1996",Dallas Cowboys,27,Pittsburgh Steelers,17,Sun Devil Stadium,"Tempe, Arizona"
1996,Super Bowl XXXI,"Jan 26, 1997",Green Bay Packers,35,New England Patriots,21,Louisiana Superdome,"New Orleans, Louisiana"
1997,Super Bowl XXXII,"Jan 25, 1998",Denver Broncos,31,Green Bay Packers,24,Qualcomm Stadium,"San Diego, California"
1998,Super Bowl XXXIII,"Jan 31, 1999",Denver Broncos,34,Atlanta Falcons,19,Pro Player Stadium,"Miami, Florida"
1999,Super Bowl XXXIV,"Jan 30, 2000",St. Louis Rams,23,Tennessee Titans,16,Georgia Dome,"Atlanta, Georgia"
2000,Super Bowl XXXV,"Jan 28, 2001",Baltimore Ravens,34,New York Giants,7,Raymond James Stadium,"Tampa, Florida"
2001,Super Bowl XXXVI,"Feb 3, 2002",New England Patriots,20,St. Louis Rams,17,Louisiana Superdome,"New Orleans, Louisiana"
2002,Super Bowl XXXVII,"Jan 26, 2003",Tampa Bay Buccaneers,48,Oakland Raiders,21,Qualcomm Stadium,"San Diego, California"
2003,Super Bowl XXXVIII,"Feb 1, 2004",New England Patriots,32,Carolina Panthers,29,Reliant Stadium,"Houston, Texas"
2004,Super Bowl XXXIX,"Feb 6, 2005",New England Patriots,24,Philadelphia Eagles,21,Alltel Stadium,"Jacksonville, Florida"
2005,Super Bowl XL,"Feb 5, 2006",Pittsburgh Steelers,21,Seattle Seahawks,10,Ford Field,"Detroit, Michigan"
2006,Super Bowl XLI,"Feb 4, 2007",Indianapolis Colts,29,Chicago Bears,17,Dolphin Stadium,"Miami Gardens, Florida"
2007,Super Bowl XLII,"Feb 3, 2008",New York Giants,17,New England Patriots,14,University of Phoenix Stadium,"Glendale, Arizona"
2008,Super Bowl XLIII,"Feb 1, 2009",Pittsburgh Steelers,27,Arizona Cardinals,23,Raymond James Stadium,"Tampa, Florida"
2009,Super Bowl XLIV,"Feb 7, 2010",New Orleans Saints,31,Indianapolis Colts,17,Sun Life Stadium,"Miami Gardens, Florida"
2010,Super Bowl XLV,"Feb 6, 2011",Green Bay Packers,31,Pittsburgh Steelers,25,Cowboys Stadium,"Arlington, Texas"
2011,Super Bowl XLVI,"Feb 5, 2012",New York Giants,21,New England Patriots,17,Lucas Oil Stadium,"Indianapolis, Indiana"
2012,Super Bowl XLVII,"Feb 3, 2013",Baltimore Ravens,34,San Francisco 49ers,31,Mercedes-Benz Superdome,"New Orleans, Louisiana"
2013,Super Bowl XLVIII,"Feb 2, 2014",Seattle Seahawks,43,Denver Broncos,8,MetLife Stadium,"East Rutherford, New Jersey"
2014,Super Bowl XLIX,"Feb 1, 2015",New England Patriots,28,Seattle Seahawks,24,University of Phoenix Stadium,"Glendale, Arizona"
2015,Super Bowl 50,"Feb 7, 2016",Denver Broncos,24,Carolina Panthers,10,Levi's Stadium,"Santa Clara, California"
2016,Super Bowl LI,"Feb 5, 2017",New England Patriots,34,Atlanta Falcons,28,NRG Stadium,"Houston, Texas"
2017,Super Bowl LII,"Feb 4, 2018",Philadelphia Eagles,41,New England Patriots,33,U.S. Bank Stadium,"Minneapolis, Minnesota"
2018,Super Bowl LIII,"Feb 3, 2019",New England Patriots,13,Los Angeles Rams,3,Mercedes-Benz Stadium,"Atlanta, Georgia"
2019,Super Bowl LIV,"Feb 2, 2020",Kansas City Chiefs,31,San Francisco 49ers,20,Hard Rock Stadium,"Miami Gardens, Florida"
2020,Super Bowl LV,"Feb 7, 2021",Tampa Bay Buccaneers,31,Kansas City Chiefs,9,Raymond James Stadium,"Tampa, Florida"
2021,Super Bowl LVI,"Feb 13, 2022",Los Angeles Rams,23,Cincinnati Bengals,20,SoFi Stadium,"Inglewood, California"
2022,Super Bowl LVII,"Feb 12, 2023",Kansas City Chiefs,38,Philadelphia Eagles,35,State Farm Stadium,"Glendale, Arizona"
2023,Super Bowl LVIII,"Feb 11, 2024",Kansas City Chiefs,25,San Francisco 49ers,22,Allegiant Stadium,"Paradise, Nevada"
2024,Super Bowl LIX,"Feb 9, 2025",Philadelphia Eagles,40,Kansas City Chiefs,22,Caesars Superdome,"New Orleans, Louisiana"
2025,Super Bowl LX,"Feb 8, 2026",Seattle Seahawks,29,New England Patriots,13,Levi's Stadium,"Santa Clara, California"
